day,question,answerA,answerB,answerC,explanation,correctAnswer
19,Erste Weihnachts-Currywurst an Duisburger Pommesbude. Wie heißt die Pommesbude?,Udo's Currybude,Chris' Currykiste,Papa's Schlemmerkasten,"Bei 'Papa's Schlemmerkasten' gibt es die erste Weihnachts-Currywurst Duisburgs. Hinter der Idee steht Inhaber Christian Schmitz, der sich selbst als leidenschaftlichen Weihnachtsfan beschreibt. „Ich habe mich gefragt: Wie bekomme ich Weihnachten in meine Pommesbude? Und dann habe ich angefangen, Gewürze wie Sternanis, Koriander und Zimt in meine Currysoße zu mischen, um eine Weihnachtssoße zu kreieren“, erklärt er. Schritt für Schritt entwickelte er eine neue Rezeptur.
Mit Zimt und Orange verfeinert, erhält die Soße eine fruchtige Frische, während der Zimt dezent im Hintergrund bleibt. - Guten Appetit
Quelle: <a href='https://www.radioduisburg.de/artikel/erste-weihnachts-currywurst-an-duisburger-pommesbude-2500844'
className='text-blue-600 hover:text-blue-800 underline' target='_blank' rel='noopener noreferrer'>radioduesburg</a>, <a href='https://rp-online.de/nrw/staedte/duisburg/duisburg-chris-schmitz-und-seine-weihnachts-currywurst_aid-139251813'
className='text-blue-600 hover:text-blue-800 underline' target='_blank' rel='noopener noreferrer'>rp-online</a>",C

20,"Was ist ein Julbock?",ein im Juli gebrautes Bier,eine Ziegenbockfigur aus Stroh,der Bock einer besonderen Ziegenart,"Der Julbock (schwedisch „Weihnachtsbock“, auch Julgumse (Julwidder); dänisch Julebuk, Juleged (–ziege), Nytårsbuk (Neujahrsbock)) ist heute in erster Linie eine &#128016;  <span className='font-bold'>Ziegenbockfigur aus Stroh</span>, die insbesondere in Dänemark, Norwegen und Schweden ein beliebter Weihnachtsschmuck ist. Früher brachte der Julbock die Geschenke, bevor er vom Weihnachtsmann (dänisch Julemand, norwegisch Julenisse, schwedisch Jultomte) ersetzt wurde.
Quelle: <a href='https://de.wikipedia.org/wiki/Julbock'
className='text-blue-600 hover:text-blue-800 underline' target='_blank' rel='noopener noreferrer'>Wikipedia-Julbock</a>",B

21,Wo wird 'Christmas in July' (Weihnachten im Juli) gefeiert?,auf den Malediven,auf den Seychellen,in Australien,"<span className='font-bold'>Australien feiert Weihnachten auch im Juli.</span>
Australiens Bevölkerung hat auch heute noch ein starkes europäisches Erbe und damit immer noch eine lebendige Tradition, Weihnachten bei kaltem Wetter zu feiern. Kein Monat ist also perfekter als der kälteste Wintermonat Juli, um ein Weihnachtsfest in winterlicher Atmosphäre wie auf der Nordhalbkugel zu inszenieren. Das bedeutet herzhafte Braten und warme Getränke vor Kaminen und Lagerfeuern.
Weihnachtlich wird es auch in Sydney mit dem Christmas in July Village. Vom 11. bis zum 14. Juli kann man den schon zur Tradition gewordenen Weihnachtsmarkt besuchen: 25 Holzchalets, Kunstschnee, Lichterketten, Weihnachtsbäume und traditionelle französische und englische Weihnachtslieder laden zu einem winterlichen Spaziergang ein. Verkauft wird nicht nur nostalgischer Weihnachtsbaumschmuck, sondern auch winterliche Köstlichkeiten wie Glühwein oder heiße Maroni.
Quelle: <a href='https://gostralia-gomerica.de/blog/australien-feiert-weihnachten-im-juli'
className='text-blue-600 hover:text-blue-800 underline' target='_blank' rel='noopener noreferrer'>gostralia-gomerica.de</a>, <a href='https://www.bbc.com/news/articles/crevj4nn34yo'
className='text-blue-600 hover:text-blue-800 underline' target='_blank' rel='noopener noreferrer'>BBC</a>",C

22,Was ist der Tag der Wintersonnenwende?,der kürzeste Tag des Jahres,der Tag an dem die Sonne im Norden aufgeht,der Tag an dem sich die Sonne um 180 Grad gedreht hat,"<span className='font-bold'>Der kürzeste Tag des Jahres</span> wird auch als Wintersonnenwende bezeichnet. Er fällt in Deutschland - wie auf der gesamten Nord-Halbkugel - stets auf den 21. oder 22. Dezember. Die Sonne steht dann so flach über dem Horizont wie sonst nie im Jahr. Sie geht spät auf und früh wieder unter. Dabei gilt: je nördlicher der Ort, desto kürzer der Tag. Zwischen Hamburg und München beträgt der Unterschied fast eine Stunde, nördlich des Polarkreises geht die Sonne gar nicht auf.
Quelle: <a href='https://www.ndr.de/ratgeber/Wintersonnenwende-2024-Der-kuerzeste-Tag-des-Jahres,sonnenwende100.html'
className='text-blue-600 hover:text-blue-800 underline' target='_blank' rel='noopener noreferrer'>NDR</a>",A

23,"Wie versucht man in Dänemark die den Weihnachtsmann unterstützenden Wichtel (Weihnachtsnisse) 'gnädig' zu stimmen?",Kerze im Fenster,Grütze/Michreis auf dem Dachboden,Kekse im Keller,"Eine Schüssel Grütze/Milchreis wird auf dem Dachboden dem Weihnachtsnisse (lokal auch Nis Puk) überlassen. Nisser sind nordische Wichtel, die 'dem Weihnachtsmann zuarbeiten'.
Gespannt warten die Kinder an Heiligabend darauf, ob die Nisser die Leibspeise gegessen haben.

Ich hoffe ihr habt schon etwas nach oben gestellt, es wird höchste Zeit ... &#128521;

Quelle: <a href='https://www.weltderwunder.de/hexen-geister-und-andere-kuriose-weihnachtsbraeuche'
className='text-blue-600 hover:text-blue-800 underline' target='_blank' rel='noopener noreferrer'>weltderwunder</a>, <a href='https://de.wikipedia.org/wiki/Weihnachten_weltweit'
className='text-blue-600 hover:text-blue-800 underline' target='_blank' rel='noopener noreferrer'>Wikipedia-Weihnachten</a>",B

24,"Wo wird 21 Tage lang Weihnachten gefeiert, bis am 13. Januar zum Weihnachtskehraus getanzt wird?",Helgoland,Fidshi-Inseln,Färöer-Inseln,"Weihnachten feiert man auf den Färöern vom 24. Dezember an für 21 Tage. Die Färinger feiern den „Tjúgundahalgi“ (heiligen Zwanzigertag); somit sind die Färinger die einzigen, die den nordischen Weihnachtsbrauch bewahrt haben, bei dem man am 13. Januar zum Weihnachtskehraus tanzt.
Quelle: <a href='https://de.wikipedia.org/wiki/Weihnachten_weltweit'
className='text-blue-600 hover:text-blue-800 underline' target='_blank' rel='noopener noreferrer'>Wikipedia-Weihnachten</a>, <a href='https://www.weltderwunder.de/hexen-geister-und-andere-kuriose-weihnachtsbraeuche'
className='text-blue-600 hover:text-blue-800 underline' target='_blank' rel='noopener noreferrer'>weltderwunder.de</a>",C

1,"Welcher Vogel gilt als Weihnachtsvogel?",Schnapsdrossel,Glühweinfink,Rotkehlchen,"Das Rotkehlchen: Der kleine Singvogel mit dem rot gefärbten Brustgefieder ist der Weihnachtsvogel schlechthin. Vermutlich ist dies ein Trend, der aus Großbritannien zu uns übergeschwappt ist. Denn dort ist das Rotkehlchen aus kaum einem weihnachtlich geschmückten Zimmer wegzudenken. 
Laut einer christliche Legende, deren Urheber nicht bekannt ist spielt der kleine Vogel eine wichtige Rolle in der Weihnachtsgeschichte: In der Nacht von Jesu Geburt waren nicht nur Ochs und Esel bei Maria und Josef im Stall, sondern auch ein braunes Vögelchen. Ein Feuer brannte. Als es zu verlöschen drohte, weil die Menschen schliefen und niemand aufpasste, flog der Vogel zur Glut und fachte das Feuer mit eifrigen Flügelschlägen wieder an. Dabei trafen die auffliegenden Funken seine Brust und färbten sie orangerot.
Quelle: <a href='https://ljv-sachsen.de/lernort-natur/das-rotkehlchen-warum-es-ein-weihnachtsvogel-ist'
className='text-blue-600 hover:text-blue-800 underline' target='_blank' rel='noopener noreferrer'>ljv-sachsen</a>, <a href='https://www.stern.de/panorama/wissen/warum-das-rotkehlchen-der-weihnachtsvogel-schlechthin-ist-34289342.html'
className='text-blue-600 hover:text-blue-800 underline' target='_blank' rel='noopener noreferrer'>stern.de</a>",C
