day,question,answerA,answerB,answerC,explanation,correctAnswer
12,Wo leben Bären?,Stadt,Schule,Wald,"Die Bären gleichen sich im Körperbau. Ihr Körper ist massig und stämmig, 
der Kopf groß, und die Gliedmaßen sind eher kurz und sehr kräftig. 
Die Augen sind klein, die Ohren rund und aufgerichtet. Die meist langgestreckte Schnauze beherbergt je nach Art 40 oder 42 Zähne. Die Füße enden in fünf Zehen, die mit nicht einziehbaren Krallen versehen sind. Alle Bären sind Sohlengänger, wobei die Fußsohlen meist behaart sind; lediglich bei Arten, die oft auf Bäume klettern, wie den Malaienbären, sind die Fußsohlen nackt. Der Schwanz ist nur ein kleiner Stummel. Das Fell ist eher lang und bei den meisten Arten einfarbig, meist braun oder schwarz. Ausnahmen sind der Große Panda mit seiner auffälligen, schwarz-weißen Fellzeichnung und der weiße Eisbär. Bei mehreren Arten kann eine helle Fellzeichnung auf der Brust oder im Gesicht vorhanden sein.
Das Körpergewicht variiert zwischen 25 und 800 Kilogramm, \n \r wobei die Männchen stets deutlich schwerer als die Weibchen werden. Die Kopf-Rumpf-Länge beträgt 100 bis 280 Zentimeter. ",C
13,Frage Nummer 13, Antwort A - richtig, Antwort B, Antwort C, Hier steht die Erklärung,A
14,Frage Nummer 14, Antwort A - richtig, Antwort B, Antwort C, Hier steht die Erklärung,A
15,Frage Nummer 15, Antwort A - richtig, Antwort B, Antwort C, Hier steht die Erklärung,A
16,Frage Nummer 16, Antwort A - richtig, Antwort B, Antwort C, Hier steht die Erklärung,A
17,Frage Nummer 17, Antwort A - richtig, Antwort B, Antwort C, Hier steht die Erklärung,A
18,Frage Nummer 18, Antwort A - richtig, Antwort B, Antwort C, Hier steht die Erklärung,A
19,Frage Nummer 19, Antwort A - richtig, Antwort B, Antwort C, Hier steht die Erklärung,A
20,Frage Nummer 20, Antwort A - richtig, Antwort B, Antwort C, Hier steht die Erklärung,A
21,Frage Nummer 21, Antwort A - richtig, Antwort B, Antwort C, Hier steht die Erklärung,A
22,Frage Nummer 22, Antwort A - richtig, Antwort B, Antwort C, Hier steht die Erklärung,A
23,Frage Nummer 23, Antwort A - richtig, Antwort B, Antwort C, Hier steht die Erklärung,A
24,Frage Nummer 24, Antwort A - richtig, Antwort B, Antwort C, Hier steht die Erklärung,A
